track,kind,seed,run_seconds,preparation_seconds,depth,two_qubit_gates,shots,expected_cut,approximation_ratio,mean_cut_ci_low,mean_cut_ci_high,optimum_probability,optimum_ci_low,optimum_ci_high,best_observed_cut,tvd_to_ideal
IBM Manila noise model,device_model,37,0.0708331999485381,0.015367100015282631,46.0,29.0,2048,7.74755859375,0.774755859375,7.657045214106805,7.838071973393195,0.310546875,0.2908771335777566,0.3309260049327549,10.0,0.1441599112738276
IBM Manila noise model,device_model,53,0.059722699981648475,0.015367100015282631,46.0,29.0,2048,7.81396484375,0.781396484375,7.723180381106129,7.904749306393871,0.32470703125,0.3047712177680436,0.3452992119362698,10.0,0.12888564984108622
IBM Manila noise model,device_model,71,0.07951619999948889,0.015367100015282631,46.0,29.0,2048,7.7734375,0.77734375,7.684484581551064,7.862390418448936,0.30810546875,0.2884837873123979,0.32844568030263044,10.0,0.1357442133079843
IQM Adonis noise model,device_model,11,0.07351780001772568,0.01945469999918714,46.0,23.0,2048,7.33056640625,0.733056640625,7.231207988483393,7.429924824016607,0.27685546875,0.2579082898481798,0.2966381903046649,10.0,0.2260774378449666
IQM Adonis noise model,device_model,23,0.058746199996676296,0.01945469999918714,46.0,23.0,2048,7.345703125,0.7345703125,7.2486398437466315,7.4427664062533685,0.27783203125,0.258862052889815,0.2976338956212229,10.0,0.23090279198704491
IQM Adonis noise model,device_model,37,0.559543700015638,0.01945469999918714,46.0,23.0,2048,7.388671875,0.7388671875,7.290494481302474,7.486849268697526,0.28076171875,0.2617240274916646,0.300620326093953,10.0,0.20990669823704494
IQM Adonis noise model,device_model,53,0.05908030003774911,0.01945469999918714,46.0,23.0,2048,7.3720703125,0.73720703125,7.272117533943883,7.472023091056117,0.28857421875,0.2693609234001931,0.30857917705097043,10.0,0.2251008753449666
IQM Adonis noise model,device_model,71,0.07688500004587695,0.01945469999918714,46.0,23.0,2048,7.37890625,0.737890625,7.281434443842921,7.476378056157079,0.28662109375,0.2674510288711387,0.3065901348636384,10.0,0.23166623772313089
OpenQARP ideal,ideal,11,0.00046039995504543185,0.00021979998564347625,,,2048,8.36669921875,0.836669921875,8.284789499633433,8.448608937866567,0.41357421875,0.39242658855370016,0.43504546174619807,10.0,0.023545335444565673
OpenQARP ideal,ideal,23,0.0011778000043705106,0.00012310000602155924,,,2048,8.33154296875,0.833154296875,8.246891931745493,8.416194005754507,0.41455078125,0.3933939644860227,0.43602755417206873,10.0,0.03139719977948216
OpenQARP ideal,ideal,37,0.0013265000307001173,0.00036539998836815357,,,2048,8.40966796875,0.840966796875,8.330490588369445,8.488845349130555,0.41943359375,0.3982321340898462,0.4409367263592114,10.0,0.031136101999270704
OpenQARP ideal,ideal,53,0.0010996999917551875,0.00011980003910139203,,,2048,8.279296875,0.8279296875,8.194384491161994,8.364209258838006,0.40087890625,0.37985857988189337,0.42227038176149273,10.0,0.035634016748361017
OpenQARP ideal,ideal,71,0.0013163999537937343,0.0003709000302478671,,,2048,8.298828125,0.8298828125,8.217561361183215,8.380094888816785,0.3857421875,0.36489299072278514,0.40701921136860575,10.0,0.04411308601005445
